Iteration	CPUTime	PhysTime	Travels
434	37	0.555072037	10.85
435	37	0.556390565	10.875
436	37	0.557708607	10.9
437	37	0.559027135	10.925
438	37	0.560345177	10.95
439	37	0.561663705	10.975
440	37	0.562981747	11
441	37	0.564300275	11.025
442	37	0.565618317	11.05
443	38	0.566936844	11.075
444	38	0.568254886	11.1
445	38	0.569573414	11.125
446	38	0.570891456	11.15
447	38	0.572209984	11.175
448	38	0.573528026	11.2
449	38	0.574846554	11.225
450	38	0.576164596	11.25
451	38	0.577483124	11.275
452	38	0.578801165	11.3
453	38	0.580119693	11.325
454	39	0.581437735	11.35
455	39	0.582756263	11.375
456	39	0.584074305	11.4
457	39	0.585392833	11.425
458	39	0.586710875	11.45
459	39	0.588029403	11.475
460	39	0.589347445	11.5
461	39	0.590665972	11.525
462	39	0.591984014	11.55
463	39	0.593302542	11.575
464	39	0.594620584	11.6
465	40	0.595939112	11.625
466	40	0.597257154	11.65
467	40	0.598575682	11.675
468	40	0.599893724	11.7
469	40	0.601212252	11.725
470	40	0.602530293	11.75
471	40	0.603848821	11.775
472	40	0.605166863	11.8
473	40	0.606485391	11.825
474	40	0.607803433	11.85
475	40	0.609121961	11.875
476	40	0.610440003	11.9
477	41	0.611758531	11.925
478	41	0.613076572	11.95
479	41	0.6143951	11.975
480	41	0.615713142	12
481	41	0.61703167	12.025
482	41	0.618349712	12.05
483	41	0.61966824	12.075
484	41	0.620986282	12.1
485	41	0.62230481	12.125
486	41	0.623622852	12.15
487	41	0.62494138	12.175
488	42	0.626259421	12.2
489	42	0.627577949	12.225
490	42	0.628895991	12.25
491	42	0.630214519	12.275
492	42	0.631532561	12.3
493	42	0.632851089	12.325
494	42	0.634169131	12.35
495	42	0.635487659	12.375
496	42	0.6368057	12.4
497	42	0.638124228	12.425
498	42	0.63944227	12.45
499	43	0.640760798	12.475
500	43	0.64207884	12.5
501	43	0.643397368	12.525
502	43	0.64471541	12.55
503	43	0.646033938	12.575
504	43	0.64735198	12.6
505	43	0.648670507	12.625
506	43	0.649988549	12.65
507	43	0.651307077	12.675
508	43	0.652625119	12.7
509	43	0.653943647	12.725
510	44	0.655261689	12.75
511	44	0.656580217	12.775
512	44	0.657898259	12.8
513	44	0.659216787	12.825
514	44	0.660534828	12.85
515	44	0.661853356	12.875
516	44	0.663171398	12.9
517	44	0.664489926	12.925
518	44	0.665807968	12.95
519	44	0.667126496	12.975
520	44	0.668444538	13
521	45	0.669763066	13.025
522	45	0.671081107	13.05
523	45	0.672399635	13.075
524	45	0.673717677	13.1
525	45	0.675036205	13.125
526	45	0.676354247	13.15
527	45	0.677672775	13.175
528	45	0.678990817	13.2
529	45	0.680309345	13.225
530	45	0.681627387	13.25
531	45	0.682945914	13.275
532	46	0.684263956	13.3
533	46	0.685582484	13.325
534	46	0.686900526	13.35
535	46	0.688219054	13.375
536	46	0.689537096	13.4
537	46	0.690855624	13.425
538	46	0.692173666	13.45
539	46	0.693492194	13.475
540	56	0.694810235	13.5
541	56	0.696128763	13.525
542	56	0.697446805	13.55
543	56	0.698765333	13.575
544	56	0.700083375	13.6
545	56	0.701401903	13.625
546	56	0.702719945	13.65
547	56	0.704038473	13.675
548	56	0.705356514	13.7
549	57	0.706675042	13.725
550	57	0.707993084	13.75
551	57	0.709311612	13.775
552	57	0.710629654	13.8
553	57	0.711948182	13.825
554	57	0.713266224	13.85
555	57	0.714584752	13.875
556	57	0.715902794	13.9
557	57	0.717221322	13.925
558	57	0.718539363	13.95
559	58	0.719857891	13.975
560	58	0.721175933	14
